Position,Business Name,Location,Status,Description,Asking Price,Revenue,Cash Flow,Business URL,Image URL,Image Alt Text
127,"OPA! Greek Food Franchise in Mississauga, ON","Mississauga, ON, Ontario",,"Franchise Fee: $25,000
Investment: $495,000-$610,000
Capital: $200,000","$25,000 ","$495,000-$610,000","$200,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/opa-greek-food-franchise?location=Mississauga%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise7372/browselogobig.jpg,opa greek food franchise
128,Profitable Metal Fabrication Business in Brantford,"Brantford, Ontario, Canada",,"Asking Price: $290,000 (CAD)
Revenue: $350,000 (CAD)
Cash Flow: $250,000 (CAD)","$290,000 (CAD)","$350,000 (CAD)","$250,000 (CAD)",https://canada.businessesforsale.com/canadian/profitable-metal-fabrication-business-in-brantford.aspx,https://canada.businessesforsale.com/uploadsstatic/a3700225mediumthumbnail.jpg?5a2IPm0wWT6sHSx4pgC3Lg==,profitable metal fabrication business
129,Well-Established Spartan Fitness Equipment & Vintage Iron Cycles In Ontario,"Ontario, Canada",,"Asking Price: Under $100K (CAD)
Revenue: On request
Cash Flow: On request",Under $100K (CAD),On request,On request,https://canada.businessesforsale.com/canadian/well-established-spartan-fitness-equipment-and-vintage-iron-cycles-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3700057mediumthumbnail.jpg?2kCVwG9AdE3V/f40o7+NHg==,well-established spartan fitness equipment
130,"Handyman Connection Canadian Home Services Franchise in Niagara, Ontario","Niagara, Ontario, Ontario",,"Franchise Fee: $65,000
Investment: On request
Capital: $35,000","$65,000 ",On request,"$35,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/handyman-connection-services-franchise?location=Niagara%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8385/browselogobig.jpg,handyman connection canadian home
131,Stone Inventory & Equipment In Toronto,"Toronto, Ontario, Canada",PRICE REDUCED,"Unbeatable Asset Sale! Unique stone slabs (Onyx, Marble, Granite), and equipment. Secure your legacy, book a showing today! More details »","$670,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/stone-inventory-and-equipment-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3637360mediumthumbnail.jpg?tK1jKkduD/acuMt3N3bjHQ==,stone inventory equipment toronto
132,Seize The Helm: Own A Premier Marina Business In Eastern Ontario,"Eastern Ontario, Ontario, Canada",,"Asking Price: Undisclosed
Revenue: $2,107,391 (CAD)
Cash Flow: $552,995 (CAD)",Undisclosed,"$2,107,391 (CAD)","$552,995 (CAD)",https://canada.businessesforsale.com/canadian/seize-the-helm-own-a-premier-marina-business-in-eastern-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3695271mediumthumbnail.jpg?6HiRUDgYwapJrMddFW4rFw==,seize the helm own
133,Fresh Burger Franchise in Ajax,"Ajax, Ontario",,"Franchise Fee: $37,500 CAD
Investment: On request","$37,500 CAD",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/fresh-burger-franchise?location=Ajax,https://canada.businessesforsale.com/canadian/franchises/images/franchise8036/browselogobig.jpg,fresh burger franchise
134,Highly Established Senior Living Business For Sale In Eastern Ontario,"Canada, Ontario, Canada",,"Asking Price: $2,500,000 (CAD)
Revenue: $742,000 (CAD)
Cash Flow: $114,000 (CAD)","$2,500,000 (CAD)","$742,000 (CAD)","$114,000 (CAD)",https://canada.businessesforsale.com/canadian/highly-established-senior-living-business-for-sale-in-eastern-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694717mediumthumbnail.jpg?WJOMFnZ/6jafXpfDdUGB2Q==,highly established senior living
135,45+ Years Well-established Furniture Retailer,"Waterloo Regional Municipality, Ontario, Canada",,"Asking Price: $1,800,000 (CAD)
Revenue: $3,333,000 (CAD)
Cash Flow: $391,000 (CAD)","$1,800,000 (CAD)","$3,333,000 (CAD)","$391,000 (CAD)",https://canada.businessesforsale.com/canadian/45-years-well-established-furniture-retailer.aspx,https://canada.businessesforsale.com/uploadsstatic/a3693344mediumthumbnail.jpg?XhYiv/c5UYyVpqBn5zvw2Q==,45+ years well-established furniture
136,iOB Business Digital Agency Opportunity in Kitchener,"Kitchener, Ontario",,"Franchise Fee: On request
Investment: On request",On request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/iob-business-opportunity-canada?location=Kitchener,https://canada.businessesforsale.com/canadian/franchises/images/franchise7841/browselogobig.jpg,iob business digital agency
137,Ecommerce Subscription Platform For Meat And Farm Products,"Greater Toronto Area, Ontario, Canada",,"Asking Price: $5,500,000 (CAD)
Revenue: $5,136,137 (CAD)
Cash Flow: $403,000 (CAD)","$5,500,000 (CAD)","$5,136,137 (CAD)","$403,000 (CAD)",https://canada.businessesforsale.com/canadian/ecommerce-subscription-platform-for-meat-and-farm-products.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,ecommerce subscription platform for
138,F45 Franchise In Whitby,"Whitby, Ontario, Canada",,"Asking Price: $500,000 (CAD)
Revenue: $250K - $500K (CAD)
Cash Flow: $100K - $250K (CAD)","$500,000 (CAD)",$250K - $500K (CAD),$100K - $250K (CAD),https://canada.businessesforsale.com/canadian/f45-franchise-in-whitby.aspx,https://canada.businessesforsale.com/uploadsstatic/a3685895mediumthumbnail.jpg?hY4v71sDYKTdGiwKZKtUDg==,f45 franchise whitby
139,Engino - Classroom Solutions Franchise in Toronto,"Toronto, Ontario",,"Franchise Fee: £35,000
Investment: On request
Capital: £300,000","£35,000",On request,"£300,000",https://canada.businessesforsale.com/canadian/franchises/opportunities/engino-classroom-solutions-franchise?location=Toronto,https://canada.businessesforsale.com/canadian/franchises/images/franchise8380/browselogobig.jpg,engino classroom solutions franchise
140,Niagara Lash Extension Salon In Fonthill,"Fonthill, Ontario, Canada",,"Asking Price: $65,000 (CAD)
Revenue: Under $100K (CAD)
Cash Flow: Under $50K (CAD)","$65,000 (CAD)",Under $100K (CAD),Under $50K (CAD),https://canada.businessesforsale.com/canadian/niagara-lash-extension-salon-in-fonthill.aspx,https://canada.businessesforsale.com/uploadsstatic/a3683115mediumthumbnail.jpg?Qm+ZNSopoVqj7Lv6UUqpIg==,niagara lash extension salon
141,Gabriel Pizza Franchise in Oshawa,"Oshawa, Ontario",,"Franchise Fee: On request
Investment: On request",On request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/gabriel-pizza-franchise?location=Oshawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise8468/browselogobig.jpg,gabriel pizza franchise
142,Unique Real-estate & Business Opportunity In Port Dover,"Port Dover, Ontario, Canada",UPDATED,"Existing 12,000sq ft Mansion/Castle Boarding House with 11 Bedrooms on 3 acres of land surrounded by a heritage stone wall. Commercial approved kitchen, coin laundry, common area library, dining... More details »","$3,900,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/unique-real-estate-and-business-opportunity-in-port-dover-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3496196mediumthumbnail.jpg?qojc+Sc8+lau6v9xamZexw==,unique real-estate business opportunity
143,"Become A Business Broker, Join Our Kingston Team In Eastern Ontario","Eastern Ontario, Ontario, Canada",,"Asking Price: Undisclosed
Revenue: Undisclosed
Cash Flow: Undisclosed",Undisclosed,Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/become-a-business-broker-join-our-kingston-team-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3565171mediumthumbnail.jpg?q2m1K9Q/cOLULiL0BnQQyg==,become a business broker
144,Waffle To Go - Prime Mall Location Franchise in Hamilton,"Hamilton, Ontario",,"Franchise Fee: $20,000
Investment: $300,000
Capital: $100,000","$20,000 ","$300,000 ","$100,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/waffle-to-go-franchise?location=Hamilton,https://canada.businessesforsale.com/canadian/franchises/images/franchise8433/browselogobig.jpg,waffle to go prime
145,The Brick Franchise Store In Cottage Country,"Southwestern Ontario, Ontario, Canada",,"Asking Price: $1,295,000 (CAD)
Revenue: $2,700,000 (CAD)
Cash Flow: $262,000 (CAD)","$1,295,000 (CAD)","$2,700,000 (CAD)","$262,000 (CAD)",https://canada.businessesforsale.com/canadian/the-brick-franchise-store-in-cottage-country.aspx,https://canada.businessesforsale.com/uploadsstatic/a3560438mediumthumbnail.jpg?g/oEYktWpdryl5GQvyqd7w==,the brick franchise store
146,Long-Standing Line Painting Business In Eastern Ontario,"Eastern Ontario, Ontario, Canada",,"Asking Price: $220,000 (CAD)
Revenue: $188,598 (CAD)
Cash Flow: $110,208 (CAD)","$220,000 (CAD)","$188,598 (CAD)","$110,208 (CAD)",https://canada.businessesforsale.com/canadian/long-standing-line-painting-business-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3557789mediumthumbnail.jpg?8//idij0WtdIYtKu08PBbQ==,long-standing line painting business
147,"The Chopped Leaf Healthy Restaurant Franchise in Hamilton, ON","Hamilton, ON, Ontario",,"Franchise Fee: $30,000
Investment: On request","$30,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/the-chopped-leaf-restaurant-franchise?location=Hamilton%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise8034/browselogobig.jpg,the chopped leaf healthy
148,Reputable Commercial Cleaning Company In Toronto,"Toronto, Ontario, Canada",,"Asking Price: Undisclosed
Revenue: $2,500,000 (CAD)
Cash Flow: $300,000 (CAD)",Undisclosed,"$2,500,000 (CAD)","$300,000 (CAD)",https://canada.businessesforsale.com/canadian/reputable-commercial-cleaning-company-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3550967mediumthumbnail.jpg?79YQFLuaYFSiewO4l9bjKQ==,reputable commercial cleaning company
149,"Profitable Niche Bookstore And Online Distributor, Ottawa","Ottawa, Ontario, Canada",,"Asking Price: $250,000 (CAD)
Revenue: $770,000 (CAD)
Cash Flow: $52,000 (CAD)","$250,000 (CAD)","$770,000 (CAD)","$52,000 (CAD)",https://canada.businessesforsale.com/canadian/profitable-niche-bookstore-and-online-distributor-ottawa.aspx,https://canada.businessesforsale.com/uploadsstatic/a3546997mediumthumbnail.jpg?bADwLalOyg97j7neVRoErQ==,profitable niche bookstore online
150,Senior Helpers - Care Franchise in Cambridge,"Cambridge, Ontario",,"Franchise Fee: On Request
Investment: On request",On Request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/senior-helpers-care-franchise?location=Cambridge,https://canada.businessesforsale.com/canadian/franchises/images/franchise8422/browselogobig.jpg,senior helpers care franchise
151,Highly Reputable Microbrewery And Restaurant For Sale In Eastern Ontario,"Eastern Ontario, Ontario, Canada",,"Asking Price: $500,000 (CAD)
Revenue: $307,312 (CAD)
Cash Flow: Undisclosed","$500,000 (CAD)","$307,312 (CAD)",Undisclosed,https://canada.businessesforsale.com/canadian/highly-reputable-microbrewery-and-restaurant-for-sale-in-eastern-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3542304mediumthumbnail.jpg?7MTdh99GxnQfVGMtz7lQJw==,highly reputable microbrewery restaurant
152,Highly Reputable Outdoor Furniture Manufacturing Company In Eastern Ontario For Sale,"Eastern Ontario, Ontario, Canada",,"Asking Price: Undisclosed
Revenue: $1,597,000 (CAD)
Cash Flow: $108,000 (CAD)",Undisclosed,"$1,597,000 (CAD)","$108,000 (CAD)",https://canada.businessesforsale.com/canadian/highly-reputable-outdoor-furniture-manufacturing-company-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3528233mediumthumbnail.jpg?VPMo5SDA2nRsc0HkboOgow==,highly reputable outdoor furniture
153,"Cinnzeo Café – Quality Bakery Franchise in London, ON","London, ON, Ontario",,"Franchise Fee: $30,000
Investment: $329,950 - $807, 350
Capital: $150,000","$30,000 ","$329,950 - $807, 350","$150,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/cinnzeo-bakery-franchise?location=London%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise6957/browselogobig.jpg,cinnzeo café quality bakery
154,Reputable Beauty Supply Company With Building For Sale In Eastern Ontario,"Eastern Ontario, Ontario, Canada",,"Asking Price: $3,420,000 (CAD)
Revenue: $999,000 (CAD)
Cash Flow: $274,000 (CAD)","$3,420,000 (CAD)","$999,000 (CAD)","$274,000 (CAD)",https://canada.businessesforsale.com/canadian/reputable-beauty-supply-company-with-building-for-sale-in-eastern-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3526784mediumthumbnail.jpg?9ZwA2bIFr8nnOEQSX9Q4dg==,reputable beauty supply company
155,Reputable Beauty Supply Wholesaler In Eastern Ontario,"Eastern Ontario, Ontario, Canada",,"Asking Price: $570,000 (CAD)
Revenue: $999,000 (CAD)
Cash Flow: $200,000 (CAD)","$570,000 (CAD)","$999,000 (CAD)","$200,000 (CAD)",https://canada.businessesforsale.com/canadian/reputable-beauty-supply-wholesaler-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3526783mediumthumbnail.jpg?ZaHJrvOawgh3iTdUBefgRQ==,reputable beauty supply wholesaler
156,"Handyman Connection Canadian Home Services Franchise in Mississauga, Ontario","Mississauga, Ontario, Ontario",,"Franchise Fee: $65,000
Investment: On request
Capital: $35,000","$65,000 ",On request,"$35,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/handyman-connection-services-franchise?location=Mississauga%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8385/browselogobig.jpg,handyman connection canadian home
157,Engineering Consulting Services Company In Ottawa For Sale,"Ottawa, Ontario, Canada",,"Asking Price: $1,150,000 (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed","$1,150,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/engineering-consulting-services-company-in-ottawa-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3517648mediumthumbnail.jpg?izY1+WPM2VyOUmrjIRsw6g==,engineering consulting services company
158,Profitable And Reputable Full-service Maintenance Company For Sale In Eastern Ontario,"Eastern Ontario, Ontario, Canada",,"Asking Price: $800,000 (CAD)
Revenue: $1,099,000 (CAD)
Cash Flow: $264,000 (CAD)","$800,000 (CAD)","$1,099,000 (CAD)","$264,000 (CAD)",https://canada.businessesforsale.com/canadian/profitable-and-reputable-full-service-maintenance-company-for-sale-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3511182mediumthumbnail.jpg?hkBuHFcnKW/B+7bt+2VWtw==,profitable reputable full-service maintenance
159,"barBURRITO in Exeter, Ontario (London Region)","Exeter, Ontario (London Region), Ontario",,"Franchise Fee: $25,000
Investment: $390K - $420K
Capital: $140K - $150K","$25,000 ",$390K - $420K,$140K - $150K,https://canada.businessesforsale.com/canadian/franchises/opportunities/barburrito?location=Exeter%2C%20Ontario%20%28London%20Region%29,https://canada.businessesforsale.com/canadian/franchises/images/franchise7648/browselogobig.jpg,barburrito
160,Well Established Contracting/building Restoration Business - Southern Ontario,"Ottawa, Ontario, Canada",,"Asking Price: $300,000 (CAD)
Revenue: $606,000 (CAD)
Cash Flow: $130,000 (CAD)","$300,000 (CAD)","$606,000 (CAD)","$130,000 (CAD)",https://canada.businessesforsale.com/canadian/well-established-contracting-building-restoration-business-southern-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3483914mediumthumbnail.jpg?MqFPD0IVhpvGMAObF1Ohkg==,well established contracting building
161,Successful Auction Business In Ontario,"Ottawa, Ontario, Canada",,"Asking Price: $545,000 (CAD)
Revenue: $1,693,247 (CAD)
Cash Flow: $164,265 (CAD)","$545,000 (CAD)","$1,693,247 (CAD)","$164,265 (CAD)",https://canada.businessesforsale.com/canadian/successful-auction-business-in-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3467236mediumthumbnail.jpg?Nzxt+AbLGcfiCga8V5F9Fg==,successful auction business ontario
162,ChargeFuze On-the-go Smartphone Charging Solution Business Opportunity in Windsor,"Windsor, Ontario",,"License Fee: On request
Investment: $20,000 - $300,000",On request,"$20,000 - $300,000",,https://canada.businessesforsale.com/canadian/franchises/opportunities/charge-fuze-charging-solution-business-opportunity?location=Windsor,https://canada.businessesforsale.com/canadian/franchises/images/franchise8354/browselogobig.jpg,chargefuze on-the-go smartphone charging
163,Successful And Reputable Window & Door Company In Eastern Ontario,"Eastern Ontario, Ontario, Canada",,"Asking Price: $800,000 (CAD)
Revenue: $1,993,000 (CAD)
Cash Flow: $217,000 (CAD)","$800,000 (CAD)","$1,993,000 (CAD)","$217,000 (CAD)",https://canada.businessesforsale.com/canadian/successful-and-reputable-window-and-door-company-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3462146mediumthumbnail.jpg?+XoDVT1zPZREMQumJQcfXQ==,successful reputable window door
164,"Well Established, Legendary Full Service Family Restaurant In Ontario","Ontario, Canada",UPDATED,"For sale, a profitable non-franchise, independent, family restaurant for sale, with an opportunity to scale current operations. Established 50+ Years. Long Lease. Very Profitable/Established... More details »","$1,500,000 (CAD)",$1M - $5M (CAD),"$500,000 (CAD)",https://canada.businessesforsale.com/canadian/well-established-legendary-full-service-family-restaurant-in-ontario.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/food.png,well established legendary full
165,FranServe Consultancy Franchise in Barrie,"Barrie, Ontario",,"Franchise Fee: On request
Investment: On request",On request,On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/franserve-franchise?location=Barrie,https://canada.businessesforsale.com/canadian/franchises/images/franchise7966/browselogobig.jpg,franserve consultancy franchise
166,Luxury Home Staging Company - 12+ Years Reputation,"Not Disclosed, Ontario, Canada",,"Asking Price: $1,650,000 (CAD)
Revenue: $780,540 (CAD)
Cash Flow: $180,264 (CAD)","$1,650,000 (CAD)","$780,540 (CAD)","$180,264 (CAD)",https://canada.businessesforsale.com/canadian/luxury-home-staging-company-12-years-reputation.aspx,https://canada.businessesforsale.com/uploadsstatic/a3738694mediumthumbnail.jpg?q8QfOREaCXEdb1u8omPkhQ==,luxury home staging company
167,"Cinnzeo Café – Quality Bakery Franchise in Ottawa, ON","Ottawa, ON, Ontario",,"Franchise Fee: $30,000
Investment: $329,950 - $807, 350
Capital: $150,000","$30,000 ","$329,950 - $807, 350","$150,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/cinnzeo-bakery-franchise?location=Ottawa%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise6957/browselogobig.jpg,cinnzeo café quality bakery
168,Lucrative Power Washing Business In Ontario,"Ontario, Canada",,"Asking Price: $725,000 (CAD)
Revenue: $500K - $1M (CAD)
Cash Flow: $250K - $500K (CAD)","$725,000 (CAD)",$500K - $1M (CAD),$250K - $500K (CAD),https://canada.businessesforsale.com/canadian/lucrative-power-washing-business-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3738687mediumthumbnail.jpg?7Bve4UstviI0A1YTw9iOJg==,lucrative power washing business
169,Diamond Wholesaler Business In Mississauga,"Mississauga, Ontario, Canada",,"Asking Price: $2,350,000 (CAD)
Revenue: Over $5M (CAD)
Cash Flow: $675,000 (CAD)","$2,350,000 (CAD)",Over $5M (CAD),"$675,000 (CAD)",https://canada.businessesforsale.com/canadian/diamond-wholesaler-business-in-mississauga.aspx,https://canada.businessesforsale.com/uploadsstatic/a3738161mediumthumbnail.jpg?d0s3vnSt2m+zu/0y8HgZtA==,diamond wholesaler business mississauga
170,"Handyman Connection Canadian Home Services Franchise in Newmarket, Ontario","Newmarket, Ontario, Ontario",,"Franchise Fee: $65,000
Investment: On request
Capital: $35,000","$65,000 ",On request,"$35,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/handyman-connection-services-franchise?location=Newmarket%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8385/browselogobig.jpg,handyman connection canadian home
171,Well Established Learning Solutions And Consulting Business In Ontario,"Ontario, Canada",,"Asking Price: $450,000 (CAD)
Revenue: $1M - $5M (CAD)
Cash Flow: Undisclosed","$450,000 (CAD)",$1M - $5M (CAD),Undisclosed,https://canada.businessesforsale.com/canadian/well-established-learning-solutions-and-consulting-business-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3738130mediumthumbnail.jpg?WFdNp1VSLh8Yi/fqcIXslQ==,well established learning solutions
172,Logistics & Delivery In Greater Toronto Area,"Greater Toronto Area, Ontario, Canada",,"Asking Price: $799,000 (CAD)
Revenue: $500K - $1M (CAD)
Cash Flow: $325,000 (CAD)","$799,000 (CAD)",$500K - $1M (CAD),"$325,000 (CAD)",https://canada.businessesforsale.com/canadian/logistics-and-delivery-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3737736mediumthumbnail.jpg?W+lnO7Uwf5Ce338K9h3B9A==,logistics delivery greater toronto
173,Fresh Burger Franchise in Oakville,"Oakville, Ontario",,"Franchise Fee: $37,500 CAD
Investment: On request","$37,500 CAD",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/fresh-burger-franchise?location=Oakville,https://canada.businessesforsale.com/canadian/franchises/images/franchise8036/browselogobig.jpg,fresh burger franchise
174,"Sign, LED & Outdoor Advertising In SW Ontario","SW Ontario, Ontario, Canada",,"Asking Price: $550,000 (CAD)
Revenue: $560,000 (CAD)
Cash Flow: $155,000 (CAD)","$550,000 (CAD)","$560,000 (CAD)","$155,000 (CAD)",https://canada.businessesforsale.com/canadian/sign-led-and-outdoor-advertising-in-sw-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3737701mediumthumbnail.jpg?+Kq7V28EU2iI6Fz5mXaj6g==,sign led outdoor advertising
175,Running Convenience Store In Busy GTA Hospital!,"Greater Toronto Area, Ontario, Canada",,"Asking Price: $315,000 (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed","$315,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/running-convenience-store-in-busy-gta-hospital.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/retail.png,running convenience store busy
176,McDonald’s Franchise in Toronto,"Toronto, Ontario",,"Franchise Fee: On request
Investment: On request
Capital: $700,000",On request,On request,"$700,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/mcdonalds-franchise-canada?location=Toronto,https://canada.businessesforsale.com/canadian/franchises/images/franchise8027/browselogobig.jpg,mcdonald s franchise
177,Turnkey Microgrow Cannabis Business In Ontario,"Ontario, Canada",,"Asking Price: $1,750,000 (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed","$1,750,000 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/turnkey-microgrow-cannabis-business-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3735241mediumthumbnail.jpg?k61/sP5SF5pj3MX5ZbDcTQ==,turnkey microgrow cannabis business
178,Profitable Esso Gas Station In Niagara Region,"Ontario, Canada",,"Asking Price: $3,500,000 (CAD)
Revenue: $500K - $1M (CAD)
Cash Flow: $250K - $500K (CAD)","$3,500,000 (CAD)",$500K - $1M (CAD),$250K - $500K (CAD),https://canada.businessesforsale.com/canadian/profitable-esso-gas-station-in-niagara-region.aspx,https://canada.businessesforsale.com/uploadsstatic/a3735227mediumthumbnail.jpg?GpS+vfNuneMIeQ95Xs7qXg==,profitable esso gas station
179,Best.Energy - Energy Monitoring Franchise in Oshawa,"Oshawa, Ontario",,"License Fee: $60,000
Investment: On request","$60,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/best-energy-franchise-canada?location=Oshawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise8338/browselogobig.jpg,best energy energy monitoring
180,Based Condominium Renovation & Restoration Company In Greater Toronto Area,"Greater Toronto Area, Ontario, Canada",,"Asking Price: $4,100,000 (CAD)
Revenue: $9,200,000 (CAD)
Cash Flow: $1,600,000 (CAD)","$4,100,000 (CAD)","$9,200,000 (CAD)","$1,600,000 (CAD)",https://canada.businessesforsale.com/canadian/based-condominium-renovation-and-restoration-company-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3735173mediumthumbnail.jpg?IFEDCapEaUoPYbfMcv6vhw==,based condominium renovation restoration
181,Profitable Drywall Contracting In Ontario,"Ontario, Canada",,"Asking Price: $2,200,000 (CAD)
Revenue: $6,000,000 (CAD)
Cash Flow: $800,000 (CAD)","$2,200,000 (CAD)","$6,000,000 (CAD)","$800,000 (CAD)",https://canada.businessesforsale.com/canadian/profitable-drywall-contracting-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3735054mediumthumbnail.jpg?typcGfZ79FizFZlhsIb1Aw==,profitable drywall contracting ontario
182,"Chef’s Door - Restaurant Franchise in Waterloo, ON","Waterloo, ON, Ontario",,"Franchise Fee: $35,000
Investment: On request","$35,000 ",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/chefs-door-franchise?location=Waterloo%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise8571/browselogobig.jpg,chef s door restaurant
183,Turn-Key Architecture Firm In Toronto,"Ontario, Canada",,"Asking Price: $77,000,000 (CAD)
Revenue: $29,088,299 (CAD)
Cash Flow: $16,241,524 (CAD)","$77,000,000 (CAD)","$29,088,299 (CAD)","$16,241,524 (CAD)",https://canada.businessesforsale.com/canadian/turn-key-architecture-firm-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3734810mediumthumbnail.jpg?YyNo9vre9qn+VdJKqHVnsg==,turn-key architecture firm toronto
184,Famous Fast Food Franchise In Cambridge,"Cambridge, Ontario, Canada",,"Asking Price: $500K - $1M (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed",$500K - $1M (CAD),Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/famous-fast-food-franchise-in-cambridge.aspx,https://canada.businessesforsale.com/uploadsstatic/a3734791mediumthumbnail.jpg?gXmPosYon2RMm5mGmbQRMw==,famous fast food franchise
185,"Kindling Cannabis in Cambridge, Ontario","Cambridge, Ontario, Ontario",,"License Fee: On request
Investment: On request
Capital: $150,000",On request,On request,"$150,000 ",https://canada.businessesforsale.com/canadian/franchises/opportunities/kindling-cannabis-opportunity?location=Cambridge%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8368/browselogobig.jpg,kindling cannabis
186,Barburrito Tex-mex Restaurant In Fort Erie,"Fort Erie, Ontario, Canada",,"Asking Price: $299,900 (CAD)
Revenue: Undisclosed
Cash Flow: Undisclosed","$299,900 (CAD)",Undisclosed,Undisclosed,https://canada.businessesforsale.com/canadian/barburrito-tex-mex-restaurant-in-fort-erie.aspx,https://canada.businessesforsale.com/uploadsstatic/a3734679mediumthumbnail.jpg?ULjPU6eW3/uzlThOY2ZqrA==,barburrito tex-mex restaurant fort
187,General Contracting Business In Greater Toronto Area,"Greater Toronto Area, Ontario, Canada",,"Asking Price: $1,250,000 (CAD)
Revenue: $4,500,000 (CAD)
Cash Flow: $471,000 (CAD)","$1,250,000 (CAD)","$4,500,000 (CAD)","$471,000 (CAD)",https://canada.businessesforsale.com/canadian/general-contracting-business-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3734618mediumthumbnail.jpg?+dY6NEhPKDipxjupUp2ccg==,general contracting business greater
188,Tutor Doctor - Children's Education Franchise in Hamilton,"Hamilton, Ontario",,"Franchise Fee: $54,700 - $124,400
Investment: On request","$54,700 - $124,400",On request,,https://canada.businessesforsale.com/canadian/franchises/opportunities/tutor-doctor-home-online-tutoring?location=Hamilton,https://canada.businessesforsale.com/canadian/franchises/images/franchise7685/browselogobig.jpg,tutor doctor children's education
